Date,KwH,AverageTemperature,MaxTemperature,MinTemperature,RainDrop
1-1-2018,7860.9,23.3,30.8,19.4,191
2-1-2018,6359.4,23.6,31.2,19.4,239.3
3-1-2018,5047.1,23.6,31.2,19,292
4-1-2018,5577.6,23.8,32.3,18.2,297.6
5-1-2018,7000,23.7,31.4,17.6,123.9
6-1-2018,8197.3,23.7,31,17.8,33.4
7-1-2018,5681.3,22.9,32,15.8,0.3
8-1-2018,5990.1,23.3,31.4,16.2,38.9
9-1-2018,5886.7,23.7,32.8,16.4,40.8
10-1-2018,6479.6,24.2,33.4,18.4,124.8
11-1-2018,17832.5,23.7,33,19,483.2
12-1-2018,16096.5,23.7,31.4,19,323.5
1-1-2019,15552,24.2,29,20.6,231.6
2-1-2019,14011.4,23,29.9,20.4,269.1
3-1-2019,16148.7,23.3,29.5,20.5,222.7
4-1-2019,16030.6,23.6,29.8,20.5,298.9
5-1-2019,16183.6,23.9,29.7,20.1,245.7
6-1-2019,14619.6,23.4,30,18.7,26.5
7-1-2019,16950.2,23.4,29.8,18.1,13.4
8-1-2019,15830.6,23.3,30.5,17.9,0.2
9-1-2019,15514.2,23.7,31.9,18.2,55
10-1-2019,15538.3,23.4,32.4,19.6,84.2
11-1-2019,14516.7,23.1,30.9,20,270.7
12-1-2019,14891.2,23.9,29.6,20.6,313.5
1-1-2020,11054.5,25.7,32,19.8,207.6
2-1-2020,11055,25.2,32.2,19.7,337
3-1-2020,11055,25.8,31.6,19.9,291
4-1-2020,11055,25.9,31.4,18.2,271
5-1-2020,11055,25.9,31.8,19.4,292
6-1-2020,11055,26,31.2,18.6,30
7-1-2020,11055,25.4,31.4,16,64
8-1-2020,11055,26.2,32.4,16.8,42
9-1-2020,11055,26.9,33,15.9,88
10-1-2020,11055,25.8,32,19,327
11-1-2020,14516.7,26.2,32.4,18,207
12-1-2020,14891.2,25.4,31,19.6,262
1-1-2021,12099.8,23.3,28.4,20.6,146.4
2-1-2021,12270.3,23.4,28.2,20.8,153.9
3-1-2021,12101.4,23.6,29.7,20.6,292.5
4-1-2021,12055.3,23.8,29.6,20.2,177.3
5-1-2021,11892.6,24.1,29.7,20.3,239
6-1-2021,12423.9,23.5,28.8,20.2,92.4
7-1-2021,12145.7,23.1,29.8,18.5,33.2
8-1-2021,12085.5,23.5,29.6,19.2,91.8
9-1-2021,12513.3,23.8,30.2,20,73
10-1-2021,12241.2,23.8,29.8,20.3,218.4
11-1-2021,12516.4,23.4,28.8,20.5,454.3
12-1-2021,12891.1,23.7,29.3,20.6,198.5
1-1-2022,12364.7,26.4,31.6,19.5,59.5
2-1-2022,12057.4,25,31,19.8,117.1
3-1-2022,12263.9,26,31.4,18.8,238.9
4-1-2022,12631.6,25.3,31.4,18.4,336.2
5-1-2022,12836.8,25.7,31.6,19,146.9
6-1-2022,12752.1,24.5,30.2,17.6,150.6
7-1-2022,12893.6,25.1,30.6,16.8,98.5
8-1-2022,12889.5,25.6,31,17.6,29.9
9-1-2022,12642.7,25.6,32.2,18.5,182.2
10-1-2022,12006.2,25,30.6,18.4,366.7
11-1-2022,12636.7,25,31,18.7,307.2
12-1-2022,12342.3,24.9,31.4,19.4,277.7
